time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D,P77_PIT_1244007C,P77_PIT_1244008C,P77_PIT_1244007D,P77_PIT_1244008D,P77_SDY_1210002C,P77_SDY_1210002D
15-nov-22 01:15:00,0,0,8.165584564,20.375,29772.33984,29886.67188,40697.34766,40685.23047,On,On
15-nov-22 01:16:00,0,0,8.168749809,20.37816238,29805.21094,29888.73828,40953.91406,40912.34766,On,On
15-nov-22 01:17:00,0,0,8.165583611,20.3781662,29793.07227,29886.55469,40888.97266,40821.19141,On,On
15-nov-22 01:18:00,0,0,8.168749809,20.38125038,29791.28711,29905.96094,40873.5625,40862.99609,On,On
15-nov-22 01:19:00,0,0,8.165657997,20.38440895,29797.35938,29893.08008,41172.15234,41047.15625,On,On
15-nov-22 01:20:00,0,0,8.168749809,20.37816429,29769.31641,29875.85156,40670.63672,40625.12891,On,On
15-nov-22 01:21:00,0,0,8.168749809,20.38125038,29792.32227,29908.08594,40935.80469,40918.80859,On,On
15-nov-22 01:22:00,0,0,8.165593147,20.375,29775.87891,29878.07617,40885.72656,40804.19922,On,On
15-nov-22 01:23:00,0,0,8.168749809,20.375,29783.20898,29884.55078,40827.27344,40799.01172,On,On
15-nov-22 01:24:00,0,0,8.162500381,20.375,29763.75586,29875.83398,40824.58984,40784.32031,On,On
15-nov-22 01:25:00,0,0,8.168749809,20.375,29768.56055,29873.72266,40599.42188,40558.36328,On,On
15-nov-22 01:26:00,0,0,8.165649414,20.38125038,29786.47852,29890.99023,40936.52344,40908.61328,On,On
15-nov-22 01:27:00,0,0,8.168749809,20.375,29773.36328,29882.35547,40698.18359,40638.22266,On,On
15-nov-22 01:28:00,0,0,8.162500381,20.375,29789.51953,29882.3457,40802.19141,40706.80859,On,On
15-nov-22 01:29:00,0,0,8.162500381,20.38125038,29800.13281,29893.11133,41183.62891,41114.57813,On,On
15-nov-22 01:30:00,0,0,8.162500381,20.36874962,29773.58984,29884.52148,40695.32031,40610.14063,On,On
15-nov-22 01:31:00,0,0,8.162500381,20.375,29799.36523,29899.52539,40977.93359,40891.51953,On,On
15-nov-22 01:32:00,0,0,8.162500381,20.37189865,29785.74023,29893.15039,40908.36328,40916.13281,On,On
15-nov-22 01:33:00,0,0,8.162500381,20.37184715,29784.28516,29878.14844,40694.51953,40653.07422,On,On
15-nov-22 01:34:00,0,0,8.165636063,20.375,29808.95117,29895.20703,41109.49609,40994.34766,On,On
15-nov-22 01:35:00,0,0,8.162500381,20.36874962,29769.35547,29886.59766,40588.16797,40500.33594,On,On
15-nov-22 01:36:00,0,0,8.162500381,20.375,29790.0293,29895.23828,40846.44141,40784.17188,On,On
15-nov-22 01:37:00,0,0,8.162500381,20.375,29790.0293,29891.0293,40863.60938,40804.26172,On,On
