,Unnamed: 0,Unnamed: 0.1,time,oil_well,ZIT_1244002,PIT_1244007,PIT_1244008,SDY_1210002
99,99,99,2022-11-21 23:21:23.627397,well injection D,21.03125,,,
100,100,100,2022-11-21 23:21:24.014091,well injection C,8.625,29107.330078125,29210.380859375,False
101,101,101,2022-11-21 23:21:24.014091,well injection D,,32726.9609375,32675.4296875,
102,102,102,2022-11-21 23:21:29.549603,well injection D,21.03125,,,
103,103,103,2022-11-21 23:21:29.676134,well injection C,8.631250381469727,29128.80078125,29227.55078125,False
104,104,104,2022-11-21 23:21:29.676134,well injection D,,32752.720703125,32701.19921875,
105,105,105,2022-11-21 23:21:35.019742,well injection D,21.03125,,,
106,106,106,2022-11-21 23:21:35.321272,well injection C,8.625,29124.5,29227.55078125,False
107,107,107,2022-11-21 23:21:35.321272,well injection D,,32774.19140625,32718.369140625,
108,108,108,2022-11-21 23:21:40.734985,well injection D,21.03125,,,
109,109,109,2022-11-21 23:21:41.116398,well injection C,8.625,29124.5,29223.259765625,False
110,110,110,2022-11-21 23:21:41.116398,well injection D,,32791.359375,32739.83984375,
111,111,111,2022-11-21 23:21:46.815974,well injection D,21.03125,,,
112,112,112,2022-11-21 23:21:47.100614,well injection C,8.631250381469727,29111.619140625,29214.669921875,False
113,113,113,2022-11-21 23:21:47.100614,well injection D,,32812.828125,32757.009765625,
114,114,114,2022-11-21 23:21:52.773226,well injection D,21.03125,,,
115,115,115,2022-11-21 23:21:53.203005,well injection C,8.631250381469727,29107.330078125,29210.380859375,False
116,116,116,2022-11-21 23:21:53.203005,well injection D,,32812.828125,32761.310546875,
117,117,117,2022-11-21 23:21:58.842221,well injection D,21.03125,,,
118,118,118,2022-11-21 23:21:59.021241,well injection C,8.631250381469727,29128.80078125,29231.849609375,False
119,119,119,2022-11-21 23:21:59.021241,well injection D,,32860.05859375,32808.5390625,
120,120,120,2022-11-21 23:22:04.564164,well injection D,21.03125,,,
121,121,121,2022-11-21 23:22:04.675615,well injection C,8.631250381469727,29124.5,29223.259765625,False
122,122,122,2022-11-21 23:22:04.675615,well injection D,,32860.05859375,32799.94921875,
123,123,123,2022-11-21 23:22:10.159680,well injection D,21.03125,,,
124,124,124,2022-11-21 23:22:10.310671,well injection C,8.631250381469727,29120.2109375,29223.259765625,False
125,125,125,2022-11-21 23:22:10.310671,well injection D,,32885.828125,32834.30078125,
126,126,126,2022-11-21 23:22:15.982431,well injection D,21.03125,,,
127,127,127,2022-11-21 23:22:16.107836,well injection C,8.631250381469727,29111.619140625,29210.380859375,False
128,128,128,2022-11-21 23:22:16.107836,well injection D,,32898.7109375,32847.1796875,
129,129,129,2022-11-21 23:22:21.811951,well injection D,21.03125,,,
130,130,130,2022-11-21 23:22:22.094548,well injection C,8.631250381469727,29120.2109375,29223.259765625,False
131,131,131,2022-11-21 23:22:22.094548,well injection D,,32898.7109375,32847.1796875,
132,132,132,2022-11-21 23:22:27.532743,well injection D,21.03125,,,
133,133,133,2022-11-21 23:22:27.745692,well injection C,8.631250381469727,29111.619140625,29214.669921875,False
134,134,134,2022-11-21 23:22:27.745692,well injection D,,32907.30078125,32855.76953125,
135,135,135,2022-11-21 23:22:33.468365,well injection D,21.03125,,,
136,136,136,2022-11-21 23:22:33.877951,well injection C,8.631250381469727,29115.91015625,29214.669921875,False
137,137,137,2022-11-21 23:22:33.877951,well injection D,,32920.1796875,32868.6484375,
138,138,138,2022-11-21 23:22:39.326091,well injection D,21.03125,,,
139,139,139,2022-11-21 23:22:39.846911,well injection C,8.631250381469727,29111.619140625,29210.380859375,False
140,140,140,2022-11-21 23:22:39.846911,well injection D,,32924.46875,32872.94921875,
141,141,141,2022-11-21 23:22:45.304086,well injection D,21.03125,,,
142,142,142,2022-11-21 23:22:45.663900,well injection C,8.631250381469727,29120.2109375,29223.259765625,False
143,143,143,2022-11-21 23:22:45.663900,well injection D,,32924.46875,32872.94921875,
144,144,144,2022-11-21 23:22:51.268257,well injection D,21.03125,,,
145,145,145,2022-11-21 23:22:51.799861,well injection C,8.631250381469727,29111.619140625,29214.669921875,False
146,146,146,2022-11-21 23:22:51.799861,well injection D,,32933.05859375,32877.23828125,
147,147,147,2022-11-21 23:22:57.238250,well injection D,21.03125,,,
148,148,148,2022-11-21 23:22:57.611556,well injection C,8.631250381469727,29111.619140625,29214.669921875,False
149,149,149,2022-11-21 23:22:57.611556,well injection D,,32937.3515625,32885.828125,
150,150,150,2022-11-21 23:23:03.050157,well injection D,21.03125,,,
151,151,151,2022-11-21 23:23:03.577060,well injection C,8.631250381469727,29107.330078125,29206.080078125,False
152,152,152,2022-11-21 23:23:03.577060,well injection D,,32928.76171875,32872.94921875,
153,153,153,2022-11-21 23:23:09.249000,well injection D,21.03125,,,
154,154,154,2022-11-21 23:23:09.401577,well injection C,8.631250381469727,29111.619140625,29214.669921875,False
155,155,155,2022-11-21 23:23:09.401577,well injection D,,32928.76171875,32877.23828125,
156,156,156,2022-11-21 23:23:14.854085,well injection D,21.03125,,,
157,157,157,2022-11-21 23:23:15.049625,well injection C,8.631250381469727,29098.740234375,29197.5,False
158,158,158,2022-11-21 23:23:15.049625,well injection D,,32928.76171875,32872.94921875,
159,159,159,2022-11-21 23:23:20.643636,well injection D,21.03125,,,
160,160,160,2022-11-21 23:23:21.034589,well injection C,8.631250381469727,29094.44921875,29197.5,False
161,161,161,2022-11-21 23:23:21.034589,well injection D,,32933.05859375,32881.53125,
162,162,162,2022-11-21 23:23:26.747626,well injection D,21.03125,,,
163,163,163,2022-11-21 23:23:26.998226,well injection C,8.631250381469727,29103.029296875,29206.080078125,False
164,164,164,2022-11-21 23:23:26.998226,well injection D,,32945.94140625,32894.41015625,
165,165,165,2022-11-21 23:23:32.704759,well injection D,21.03125,,,
166,166,166,2022-11-21 23:23:33.001486,well injection C,8.631250381469727,29103.029296875,29206.080078125,False
167,167,167,2022-11-21 23:23:33.001486,well injection D,,32933.05859375,32881.53125,
168,168,168,2022-11-21 23:23:38.763171,well injection D,21.03125,,,
169,169,169,2022-11-21 23:23:39.134662,well injection C,8.631250381469727,29103.029296875,29206.080078125,False
170,170,170,2022-11-21 23:23:39.134662,well injection D,,32933.05859375,32881.53125,
