time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D
15-nov-22 02:12:00,0,0,8.159373283,20.36249924
15-nov-22 02:13:00,0,0,8.162500381,20.37193298
15-nov-22 02:14:00,0,0,8.162500381,20.36249924
15-nov-22 02:15:00,0,0,8.159319878,20.37181854
15-nov-22 02:16:00,0,0,8.162500381,20.36567879
15-nov-22 02:17:00,0,0,8.15625,20.36874962
15-nov-22 02:18:00,0,0,8.15625,20.36249924
15-nov-22 02:19:00,0,0,8.15625,20.36874962
15-nov-22 02:20:00,0,0,8.15625,20.37181854
15-nov-22 02:21:00,0,0,8.15625,20.36249924
15-nov-22 02:22:00,0,0,8.15625,20.36249924
15-nov-22 02:23:00,0,0,8.15625,20.36249924
15-nov-22 02:24:00,0,0,8.15625,20.35625076
15-nov-22 02:25:00,0,0,8.15625,20.36557961
15-nov-22 02:26:00,0,0,8.15625,20.36249924
15-nov-22 02:27:00,0,0,8.15625,20.35941887
15-nov-22 02:28:00,0,0,8.15625,20.36249924
15-nov-22 02:29:00,0,0,8.15625,20.35625076
15-nov-22 02:30:00,0,0,8.15625,20.36249924
15-nov-22 02:31:00,0,0,8.15625,20.36249924
15-nov-22 02:32:00,0,0,8.15625,20.35625076
15-nov-22 02:33:00,0,0,8.15625,20.35625076
15-nov-22 02:34:00,0,0,8.15625,20.34685135
15-nov-22 02:35:00,0,0,8.153165817,20.35308456
15-nov-22 02:36:00,0,0,8.15625,20.34066391
15-nov-22 02:37:00,0,0,8.15625,20.33434677
15-nov-22 02:38:00,0,0,8.15625,20.33749962
15-nov-22 02:39:00,0,0,8.15625,20.33124924
15-nov-22 02:40:00,0,0,8.15625,20.33124924
15-nov-22 02:41:00,0,0,8.15625,20.33440971
15-nov-22 02:42:00,0,0,8.15625,20.3344059
15-nov-22 02:43:00,0,0,8.15625,20.33124924
15-nov-22 02:44:00,0,0,8.15625,20.32500076
15-nov-22 02:45:00,0,0,8.15625,20.32808495
15-nov-22 02:46:00,0,0,8.15625,20.33124924
15-nov-22 02:47:00,0,0,8.15625,20.33124924
15-nov-22 02:48:00,0,0,8.153082848,20.33124924
15-nov-22 02:49:00,0,0,8.15625,20.32500076
15-nov-22 02:50:00,0,0,8.15625,20.33124924
15-nov-22 02:51:00,0,0,8.15625,20.33124924
15-nov-22 02:52:00,0,0,8.15625,20.33124924
15-nov-22 02:53:00,0,0,8.15625,20.33124924
15-nov-22 02:54:00,0,0,8.15625,20.33124924
15-nov-22 02:55:00,0,0,8.15625,20.33124924
15-nov-22 02:56:00,0,0,8.15625,20.33124924
15-nov-22 02:57:00,0,0,8.15625,20.33749962
15-nov-22 02:58:00,0,0,8.15625,20.34060669
15-nov-22 02:59:00,0,0,8.15625,20.33749962
15-nov-22 03:00:00,0,0,8.15625,20.33749962
15-nov-22 03:01:00,0,0,8.15625,20.34059715
15-nov-22 03:02:00,0,0,8.15625,20.34060287
15-nov-22 03:03:00,0,0,8.15625,20.33749962
15-nov-22 03:04:00,0,0,8.15625,20.33749962
15-nov-22 03:05:00,0,0,8.15625,20.34375
15-nov-22 03:06:00,0,0,8.15625,20.3406086
15-nov-22 03:07:00,0,0,8.15625,20.34060287
15-nov-22 03:08:00,0,0,8.15625,20.34065437
15-nov-22 03:09:00,0,0,8.15625,20.32500076
15-nov-22 03:10:00,0,0,8.15625,20.32500076
15-nov-22 03:11:00,0,0,8.15625,20.32500076
15-nov-22 03:12:00,0,0,8.153143883,20.33124924
15-nov-22 03:13:00,0,0,8.15625,20.32813644
15-nov-22 03:14:00,0,0,8.15625,20.32813454
15-nov-22 03:15:00,0,0,8.15625,20.33124924
15-nov-22 03:16:00,0,0,8.15625,20.33124924
15-nov-22 03:17:00,0,0,8.15625,20.32813835
15-nov-22 03:18:00,0,0,8.15625,20.33124924
15-nov-22 03:19:00,0,0,8.15625,20.33124924
15-nov-22 03:20:00,0,0,8.153098106,20.33440018
15-nov-22 03:21:00,0,0,8.153094292,20.33124924
15-nov-22 03:22:00,0,0,8.153180122,20.33749962
15-nov-22 03:23:00,0,0,8.15625,20.33431625
15-nov-22 03:24:00,0,0,8.153059006,20.33124924
15-nov-22 03:25:00,0,0,8.15625,20.33428574
15-nov-22 03:26:00,0,0,8.149999619,20.33427811
15-nov-22 03:27:00,0,0,8.149999619,20.34073067
15-nov-22 03:28:00,0,0,8.149999619,20.33449936
15-nov-22 03:29:00,0,0,8.149999619,20.33749962
15-nov-22 03:30:00,0,0,8.149999619,20.33124924
15-nov-22 03:31:00,0,0,8.149999619,20.33749962
15-nov-22 03:32:00,0,0,8.149999619,20.33749962
15-nov-22 03:33:00,0,0,8.149999619,20.33749962
15-nov-22 03:34:00,0,0,8.149999619,20.33749962
15-nov-22 03:35:00,0,0,8.149999619,20.33443832
15-nov-22 03:36:00,0,0,8.149999619,20.33749962
15-nov-22 03:37:00,0,0,8.149999619,20.33124924
15-nov-22 03:38:00,0,0,8.149999619,20.33749962
15-nov-22 03:39:00,0,0,8.149999619,20.33749962
15-nov-22 03:40:00,0,0,8.149999619,20.3406868
15-nov-22 03:41:00,0,0,8.149999619,20.33124924
15-nov-22 03:42:00,0,0,8.149999619,20.33749962
15-nov-22 03:43:00,0,0,8.149999619,20.33749962
15-nov-22 03:44:00,0,0,8.149999619,20.33749962
15-nov-22 03:45:00,0,0,8.149999619,20.33443451
15-nov-22 03:46:00,0,0,8.149999619,20.33430862
15-nov-22 03:47:00,0,0,8.149999619,20.34375
15-nov-22 03:48:00,0,0,8.149999619,20.34375
15-nov-22 03:49:00,0,0,8.149999619,20.33442688
15-nov-22 03:50:00,0,0,8.149999619,20.33749962
15-nov-22 03:51:00,0,0,8.149999619,20.34375
15-nov-22 03:52:00,0,0,8.149999619,20.33749962
15-nov-22 03:53:00,0,0,8.149999619,20.33443451
15-nov-22 03:54:00,0,0,8.149999619,20.33431244
15-nov-22 03:55:00,0,0,8.149999619,20.34067917
15-nov-22 03:56:00,0,0,8.149999619,20.33749962
15-nov-22 03:57:00,0,0,8.149999619,20.33749962
15-nov-22 03:58:00,0,0,8.149999619,20.33749962
15-nov-22 03:59:00,0,0,8.149999619,20.33749962
15-nov-22 04:00:00,0,0,8.149999619,20.33749962
15-nov-22 04:01:00,0,0,8.149999619,20.33749962
15-nov-22 04:02:00,0,0,8.149999619,20.33749962
15-nov-22 04:03:00,0,0,8.149999619,20.33749962
15-nov-22 04:04:00,0,0,8.149999619,20.33432579
15-nov-22 04:05:00,0,0,8.149999619,20.33749962
15-nov-22 04:06:00,0,0,8.149999619,20.33749962
15-nov-22 04:07:00,0,0,8.149999619,20.33442879
15-nov-22 04:08:00,0,0,8.149999619,20.33124924
15-nov-22 04:09:00,0,0,8.149999619,20.33749962
15-nov-22 04:10:00,0,0,8.149999619,20.33124924
15-nov-22 04:11:00,0,0,8.149999619,20.33442879
15-nov-22 04:12:00,0,0,8.149999619,20.33124924
15-nov-22 04:13:00,0,0,8.149999619,20.33749962
15-nov-22 04:14:00,0,0,8.149999619,20.33749962
15-nov-22 04:15:00,0,0,8.149999619,20.33749962
15-nov-22 04:16:00,0,0,8.149999619,20.33749962
15-nov-22 04:17:00,0,0,8.149999619,20.33434105
15-nov-22 04:18:00,0,0,8.149999619,20.33124924
15-nov-22 04:19:00,0,0,8.149999619,20.33749962
15-nov-22 04:20:00,0,0,8.149999619,20.33749962
